category,title,resource,region,statusWord,message
Storage Accounts,Storage Accounts Encryption,N/A,uaenorth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,N/A,uaecentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,N/A,global,OK,No storage accounts found
Storage Accounts,Log Storage Encryption,N/A,global,FAIL,No Log Profile enabled
Storage Accounts,Log Storage Encryption,N/A,eastasia,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,southeastasia,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,centralus,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,eastus,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,eastus2,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,westus,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,northcentralus,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,southcentralus,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,northeurope,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,westeurope,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,germanycentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,germanynortheast,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,germanywestcentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,germanynorth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,switzerlandnorth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,switzerlandwest,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,norwaywest,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,norwayeast,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,japanwest,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,japaneast,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,brazilsouth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,australiaeast,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,australiasoutheast,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,southindia,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,centralindia,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,westindia,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,canadacentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,canadaeast,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,uksouth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,ukwest,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,westcentralus,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,westus2,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,koreacentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,koreasouth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,francecentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,francesouth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,australiacentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,australiacentral2,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,southafricanorth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,southafricawest,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,uaenorth,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,uaecentral,OK,No existing Storage Accounts found
Storage Accounts,Log Storage Encryption,N/A,global,OK,No existing Storage Accounts found
Storage Accounts,Log Container Public Access,N/A,eastasia,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,southeastasia,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,centralus,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,eastus,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,eastus2,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,westus,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,northcentralus,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,southcentralus,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,northeurope,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,westeurope,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,germanycentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,germanynortheast,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,germanywestcentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,germanynorth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,switzerlandnorth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,switzerlandwest,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,norwaywest,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,norwayeast,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,japanwest,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,japaneast,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,brazilsouth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,australiaeast,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,australiasoutheast,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,southindia,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,centralindia,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,westindia,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,canadacentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,canadaeast,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,uksouth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,ukwest,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,westcentralus,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,westus2,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,koreacentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,koreasouth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,francecentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,francesouth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,australiacentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,australiacentral2,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,southafricanorth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,southafricawest,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,uaenorth,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,uaecentral,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,global,OK,No existing Storage Containers found
Storage Accounts,Log Container Public Access,N/A,global,FAIL,There are no Storage containers storing the activity logs.
Storage Accounts,Storage Accounts AAD Enabled,N/A,eastasia,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,southeastasia,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,centralus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,eastus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,eastus2,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,westus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,northcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,northeurope,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,westeurope,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,germanycentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,germanynortheast,OK,No storage accounts found
